"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","RT @randal_olson: Features of #Python 3 for data scientists. #DataScience #MachineLearning

https://t.co/WGVBQh90bm https://t.co/ClVJ7dnM1l",FALSE,0,NA,2018-01-29 15:16:16,FALSE,NA,"957995819466096640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BoredGreyface",21,TRUE,FALSE,NA,NA
"19","On the road again. This time LA for #MachineLearning, #DataScience, &amp; #AIEngineering - #GoPats https://t.co/2x6rCwFoRZ",FALSE,0,NA,2018-01-29 15:16:12,FALSE,NA,"957995800658939909",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mgualtieri",1,FALSE,FALSE,NA,NA
"20","RT @DeepLearn007: Artificial Intelligence Industry – An Overview by Segment
#AI #MachineLearning #DeepLearning #BigData #Fintech #Marketing…",FALSE,0,NA,2018-01-29 15:15:45,FALSE,NA,"957995689073573888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DileepRudran",297,TRUE,FALSE,NA,NA
"21","RT @DeepLearn007: Machine Learning Driven Technological Revolution
#AI #MachineLearning #Fintech #ML #Banking #tech 
https://t.co/elSSyEf9G…",FALSE,0,NA,2018-01-29 15:15:45,FALSE,NA,"957995687379021826",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ocateslibrayr",179,TRUE,FALSE,NA,NA
"22","RT @apanisson: #OpenPosition at ISI Foundation - we are searching for Data Scientists to work with Applied #MachineLearning in Finance. #AM…",FALSE,0,NA,2018-01-29 15:15:42,FALSE,NA,"957995676616577024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mtizzoni",4,TRUE,FALSE,NA,NA
"23","RT @IainLJBrown: The year of integration: 5 marketing predictions for 2018
#AI #MachineLearning #Marketing #ML #DigitalMarketing #martech #…",FALSE,0,NA,2018-01-29 15:15:35,FALSE,NA,"957995647940018176",NA,"<a href=""https://spences10.github.io"" rel=""nofollow"">new-app-test</a>","RobynPope83",9,TRUE,FALSE,NA,NA
"24","RT @ProductiveSys: #Google’s Vision for Mainstreaming #MachineLearning 
#AI #ML #DL #Algorithms #NLP #DataScience #IoT #Industry40 #IIoT #B…",FALSE,0,NA,2018-01-29 15:15:35,FALSE,NA,"957995645914185733",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sajidmirza",17,TRUE,FALSE,NA,NA
"25","RT @DeepLearn007: MedyMatch tech for pinpointing brain bleeds gets FDA nod for quick approval
#AI #MachineLearning #DeepLearning #ML #DL #H…",FALSE,0,NA,2018-01-29 15:15:32,FALSE,NA,"957995633541042176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DileepRudran",131,TRUE,FALSE,NA,NA
"26","RT @BiancaWeber999: Join this 30 min. webcast on Feb 8th @ 11:00 A.M. C.E.T. They will demystify how #MachineLearning &amp; the #InternetofThin…",FALSE,0,NA,2018-01-29 15:15:21,FALSE,NA,"957995589794516992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ITPeopleDACH",1,TRUE,FALSE,NA,NA
"27","RT @BristowColin: #AI is transforming business processes but data quality and workforce challenges remain -… https://t.co/46SsJE6995",FALSE,0,NA,2018-01-29 15:15:18,TRUE,NA,"957995574107701253",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","rtehrani",0,FALSE,FALSE,NA,NA
