NISCODE;admin;ID;poverty_S;criminality_index;income_index;gini_ineq_coef;minimum_sub_income;pop15;pop1564;pop65;pop_density;ratio_FM;foreigners;euro_foreigners;noneuro_foreigners;average_HHsize;one_person_HH;one_parent_HH;active_pop;unemployed;employment_rate_1564;higher_degree;owner_buildings;average_age_pop;married;reg_partnership;commuters;employees;self_employed;moved_in;couples_with_children;couples_without_children;habitants
62011;BASSENGE;573;14.7252468979488;8.33921083964277;97.1563254847141;.28237774;.567794685441744;.1784;.663;.1586;228.54;103.3566;.0803;.0727;.0076;2.36;.3008;.122;.6961;.0959;.6293;.2541;.7311;40.579009696;.4894;.0376;.1976;.8523;.1345;.1024;.2964;.254;8724
62015;BEYNE-HEUSAY;580;13.8124945083912;7.3962113832961;90.6025683168264;.278240998;.917048770320967;.1801;.6599;.1599;1644.19;108.0913;.097;.0772;.0198;2.31;.3291;.1381;.6416;.1274;.5599;.2072;.6986;40.209578897;.4894;.0296;.131;.8937;.0985;.1033;.2762;.2364;12036
62022;CHAUDFONTAINE;583;6.79776402475544;6.03724528933895;123.94005783536;.347111428;.87375859434683;.1448;.6304;.2249;823.01;109.8531;.0502;.0388;.0114;2.29;.3235;.1189;.6465;.0914;.5874;.4234;.756;44.550350594;.4902;.0321;.1607;.7907;.1929;.0917;.2687;.2669;21000
62026;COMBLAIN-AU-PONT;589;17.9705654531371; ;89.4818184097258;.289685357;.373273609555804;.1848;.6439;.1713;237.85;108.1822;.051;.0452;.0057;2.37;.3096;.1262;.6637;.1102;.5906;.2241;.6886;40.693335831;.4569;.0503;.1433;.86;.1255;.0942;.2914;.2436;5394
62027;DALHEM;145;8.65871589609541;5.03027419445571;108.3605507376;.320872184;.457404230989137;.1733;.6964;.1303;191.58;102.3433;.0831;.0744;.0087;2.48;.2632;.0941;.7121;.0575;.6712;.3539;.7472;39.582286228;.5366;.0373;.1667;.8137;.1636;.1091;.3487;.2758;6908
62032;ESNEUX;585;12.1463960364392;8.14512652610427;115.226791464119;.329052734;.597218022376777;.1503;.6616;.1881;386.89;107.1069;.0444;.0349;.0096;2.16;.3815;.1175;.665;.0937;.6027;.3961;.6972;42.702069382;.4459;.0454;.1541;.8094;.1771;.1039;.247;.2359;13172
62038;FLERON;581;16.9463195114111;8.90522767731212;94.2686124380703;.285665272;1.02959309494451;.1613;.6342;.2046;1184.03;112.4183;.0872;.0698;.0174;2.27;.3253;.131;.6371;.1261;.5567;.2367;.6294;42.784326219;.4992;.0303;.1164;.8716;.1164;.1076;.2569;.2614;16250
62051;HERSTAL;149;24.6893977380355;11.4865496199308;82.2467384267161;.265363874;1.40049520272362;.1743;.6502;.1755;1646.88;106.7292;.1827;.1341;.0486;2.21;.3851;.1406;.6133;.17;.5091;.1603;.6593;40.817809289;.4614;.0259;.121;.8954;.0956;.1175;.2408;.2077;38770
62060;JUPRELLE;146;7.51689189189189;8.53883193615496;107.371980455283;.297453466;.377903745693009;.1656;.6821;.1523;255.67;98.1587;.0593;.0436;.0157;2.46;.2603;.1068;.6586;.0744;.6096;.296;.7975;41.07658025;.522;.0304;.153;.8481;.1348;.1106;.3363;.2779;9040
62063;LIEGE;242;32.2624135853819;21.4249850704825;85.7623989768329;.307187229;3.5607641019348;.1564;.6748;.1689;2824.04;103.0536;.1885;.1002;.0883;1.87;.5419;.1159;.5797;.1983;.4647;.2856;.4856;40.453067793;.3911;.0246;.1683;.8701;.119;.1651;.1578;.1616;195965
62079;OUPEYE;240;14.8314901429383;8.26645826293899;95.9160131312512;.280706564;.518475845609415;.1658;.6604;.1738;669.45;108.8545;.0651;.055;.0101;2.3;.3147;.1306;.6595;.128;.5751;.2273;.6585;41.655403743;.4896;.0278;.1288;.8718;.1156;.1024;.2697;.2594;24177
62093;SAINT-NICOLAS;579;24.8348249847711;8.45378293975001;79.6273939786456;.258688977;1.27358490566038;.1807;.6419;.1774;3394.73;111.5777;.216;.1728;.0432;2.25;.3594;.1401;.6034;.1821;.4936;.1486;.643;40.536892632;.4958;.0236;.1227;.9091;.0824;.1226;.2571;.2179;23227
62096;SERAING;318;35.663149962321;13.4024446998779;81.4326908416051;.274765865;2.06685017695635;.1778;.6446;.1776;1793.16;109.0636;.144;.1088;.0352;2.09;.4249;.1469;.596;.1909;.4822;.1698;.5553;40.776280516;.4261;.0268;.1239;.9049;.0861;.1357;.2062;.1996;63363
62099;SOUMAGNE;243;14.3035890681594;6.86225856873461;98.5210390101579;.29622385;.62569009937431;.1874;.6617;.1509;599.8;103.8958;.0612;.0502;.011;2.46;.2697;.1226;.6904;.1015;.6203;.2709;.7103;39.702930431;.5186;.0324;.1147;.8518;.1318;.1045;.3266;.2571;16277
62100;SPRIMONT;587;9.618138424821;6.7039953518254;108.019492063325;.335236728;.400973793498496;.1822;.6732;.1446;186.87;106.1331;.0442;.0273;.0169;2.43;.2968;.1053;.6805;.0805;.6257;.3691;.7436;39.706870016;.482;.0484;.1395;.8101;.1762;.1131;.3386;.2398;13881
62108;VISE;574;23.4586656538802;14.3576347077092;93.9753655009781;.307094763;1.25771649454797;.1712;.6515;.1773;611.75;108.4987;.088;.0604;.0276;2.34;.3225;.1198;.6467;.1353;.5592;.2507;.5906;41.074037047;.4989;.0334;.1464;.8599;.1265;.1056;.2865;.244;17124
62118;GRACE-HOLLOGNE;577;17.8722998426398;11.2804715623803;86.5587207489566;.267368658;.999591076377845;.1714;.6697;.1588;640.72;106.602;.1469;.1305;.0164;2.32;.3223;.1339;.6244;.1491;.5312;.161;.6158;40.692333534;.4964;.0305;.1338;.8976;.0953;.1018;.2774;.2406;21937
62119;BLEGNY;148;7.2919987248964;6.27124543845795;106.883793010322;.305989039;.373191165270373;.1756;.6649;.1595;506.2;102.6878;.045;.0355;.0095;2.48;.2507;.114;.6989;.0802;.6428;.3132;.7341;40.655919258;.5144;.0431;.1172;.8469;.1406;.0956;.3372;.2758;13197
62120;FLEMALLE;319;19.5909714428233;11.8074343263172;90.0648447946503;.265234937;1.23861993513851;.1714;.6408;.1878;691.13;110.6615;.0791;.0677;.0114;2.24;.3374;.1355;.6332;.1467;.5403;.1836;.6511;41.774983089;.4659;.039;.1268;.9008;.0907;.12;.2562;.2468;25351
62121;NEUPRE;586;4.58480282141712;5.17244750093779;127.069329484376;.328759262;.357653791130186;.1554;.661;.1836;311.38;107.2674;.0515;.0436;.0079;2.43;.2627;.0991;.6615;.0589;.6226;.4217;.8214;42.985625228;.5355;.0386;.1606;.7937;.1921;.0849;.3233;.2944;9868
62122;TROOZ;584;16.7809600645422;7.84510735133004;96.5941104362548;.284712326;.990589400693413;.1733;.6854;.1414;345.9;99.7375;.1049;.0531;.0518;2.29;.3456;.1187;.6405;.1108;.5696;.287;.7132;39.367238758;.4623;.0395;.1289;.8614;.1237;.1333;.2882;.2295;8369
63001;AMEL;512;5.55929163864604;2.57123576572846;83.7841775849574;.272345549;.219820479941381;.1719;.6465;.1816;43.47;95.4023;.0511;.0497;.0015;2.61;.246;.0711;.7123;.0311;.6901;.1824;.8209;40.930030904;.5825;.0376;.2343;.804;.1689;.0507;.3859;.2705;5440
63003;AUBEL;251;5.28455284552846;6.6221974549169;101.42810842722;.323251879;.120831319478009;.179;.6466;.1744;222.21;103.4516;.0564;.0421;.0143;2.48;.3073;.0954;.718;.0551;.6785;.3073;.6726;40.536140476;.5136;.0453;.1339;.7876;.1935;.0918;.3307;.2419;4185
63004;BAELEN;578;7.15211194610003;5.93919762304306;98.1664692622066;.299300377;.579777365491651;.1804;.6829;.1367;49.66;100.6126;.0679;.0583;.0096;2.47;.2961;.0912;.6918;.0622;.6488;.2746;.7345;38.991162387;.521;.0362;.1245;.8513;.1403;.1043;.3455;.2448;4257
63012;BUELLINGEN;481;8.69753353526612;3.107824917231;80.7341576453707;.3035541;.307302964569776;.1802;.6404;.1794;38.01;94.8893;.1143;.0722;.0421;2.51;.288;.0796;.6855;.0275;.6667;.1914;.7993;40.637076336;.57;.0346;.211;.7874;.1813;.0806;.3512;.258;5720
63013;BUETGENBACH;94;6.66;4.3113914805637;80.8987513138103;.24588409;.174489617867737;.1635;.6555;.181;58.76;99.5812;.0616;.0541;.0075;2.49;.2928;.0819;.7012;.043;.671;.1725;.796;41.24841931;.5515;.0398;.1663;.8258;.1538;.0756;.3474;.2523;5718
63020;DISON;228;47.6999187772281;9.87575713998615;73.9479777650306;.287561643;3.25584467045304;.2175;.641;.1415;1081.51;103.7256;.1043;.0475;.0568;2.39;.3613;.1525;.5869;.192;.4742;.1582;.5609;37.25542681;.4671;.0368;.0997;.9055;.0863;.135;.2746;.185;15147
63023;EUPEN;436;9.78702449833805;6.15645771718026;98.5864356212153;.325299683;1.82067655285239;.1599;.6535;.1866;184.1;104.508;.1507;.1006;.0502;2.16;.3927;.0995;.6548;.0817;.6013;.2387;.559;41.612399019;.5037;.0272;.1787;.8471;.1399;.1133;.2488;.2402;19099
63035;HERVE;119;9.81899330523184;7.04056115738983;101.017148651012;.305695088;.646627053477805;.1758;.6757;.1485;301.76;106.1538;.0437;.0327;.011;2.45;.2819;.1117;.6862;.0865;.6268;.3145;.6907;39.826285056;.5206;.0359;.1073;.8282;.1563;.1008;.3282;.2568;17152
63038;JALHAY;457;6.54145077720207;4.56703176624408;107.547524601427;.32125194;.369311412913986;.1805;.6762;.1433;77.07;100.3136;.0228;.0184;.0043;2.52;.2809;.0934;.7014;.0612;.6585;.3555;.7702;39.812097396;.5135;.0331;.1148;.7872;.1962;.0964;.3581;.2457;8305
63040;KELMIS;404;23.2751091703057;6.55108804728679;86.3038438106842;.328498837;1.5173809085893;.1528;.672;.1751;603.69;101.3991;.3769;.3392;.0377;2.21;.3448;.0925;.6137;.094;.556;.1567;.5803;41.96664979;.5682;.0228;.4155;.883;.1105;.1083;.2564;.2796;10940
63045;LIERNEUX;520;18.0515759312321;5.723405657567;90.2949438010352;.288762245;.372172917263098;.1698;.6667;.1635;37.86;97.9557;.0364;.0278;.0086;2.36;.3218;.0955;.654;.0724;.6067;.2674;.7154;40.89279354;.469;.0469;.3273;.8001;.179;.1156;.2974;.2601;3486
63046;LIMBOURG;582;14.7249490646416;6.31569205149759;93.2531627032238;.292987613;.39819944598338;.1927;.6562;.1511;234.93;100.4851;.0538;.0356;.0181;2.39;.3326;.1078;.6832;.0987;.6157;.2264;.6944;39.402854538;.5001;.039;.1005;.8429;.1432;.122;.3008;.2399;5786
63048;LONTZEN;427;9.71470732907034;8.67833392921141;93.9818244001618;.321293728;.598259608411893;.177;.6805;.1425;190.74;100.5123;.2169;.1984;.0185;2.44;.2725;.0933;.6927;.0573;.653;.2091;.6992;40.005632824;.5594;.0346;.263;.8252;.1553;.0936;.338;.2743;5480
63049;MALMEDY;480;11.8886787354769;5.82021602989427;93.785366133802;.299444008;1.07003891050584;.1692;.6402;.1906;122.36;108.2397;.0437;.0256;.0181;2.26;.3609;.0899;.6827;.0932;.6191;.267;.6457;41.5697836;.5099;.0411;.1506;.8319;.1532;.1132;.2841;.2494;12232
63057;OLNE;449;5.24160524160524;5.0167974966764;118.011518705489;.328353134;.314300680984809;.1706;.6922;.1373;238.78;99.8429;.0364;.0312;.0052;2.49;.2668;.0979;.6949;.0686;.6472;.404;.8025;40.266186411;.5373;.0366;.1141;.8049;.1801;.0744;.3555;.2576;3817
63058;PEPINSTER;455;15.5004332755633;7.45839334829728;91.6279003054418;.293453413;.699156899033518;.1961;.6548;.1491;392.29;104.6287;.0332;.0219;.0112;2.42;.3188;.1269;.6718;.1145;.5949;.2397;.7154;38.891710234;.4805;.0406;.1245;.8789;.1088;.1048;.305;.2281;9726
63061;RAEREN;416;17.3788082008048;5.54352868706389;101.229075777027;.396459561;.753437558862309;.1598;.6701;.1701;141.32;103.3346;.4964;.4784;.018;2.34;.2946;.0846;.6693;.0616;.6281;.2218;.678;42.134649688;.5894;.0193;.5336;.8182;.1642;.0892;.3139;.2788;10488
63067;SANKT VITH;521;8.7790935075541;4.38573013314764;91.189744084442;.290601667;.444397418262618;.1559;.666;.1781;63.97;99.047;.0638;.048;.0158;2.43;.3037;.0755;.7149;.0313;.6925;.2165;.7204;41.680960666;.5478;.0257;.2869;.8025;.1717;.0898;.3319;.2626;9399
63072;SPA;588;33.8458466453674;10.3422777888216;97.4086027972949;.307342219;1.19103885055298;.146;.6358;.2182;264.6;108.1326;.042;.0275;.0145;2.01;.457;.118;.641;.148;.5461;.2545;.5249;43.924292031;.4145;.0307;.1137;.8577;.1307;.1324;.1949;.2113;10544
63073;STAVELOT;487;14.9873657612129;6.01322124205678;92.4301035996693;.308277054;1.08774474256708;.1759;.6562;.1679;80.92;100.1163;.0373;.0275;.0099;2.31;.3488;.106;.6812;.0955;.6161;.2699;.6978;40.986253023;.489;.042;.1484;.8296;.1502;.1124;.2918;.2354;6884
63075;STOUMONT;493;18.4116809116809;4.94644198442974;100.966786960838;.298702671;.292302695680416;.1883;.658;.1537;29.58;100.6254;.0864;.0315;.0549;2.34;.3415;.0932;.6641;.0763;.6135;.3522;.7284;40.387868935;.5167;.0409;.1856;.7907;.1826;.1471;.2975;.2461;3208
63076;THEUX;466;9.74088713219148;6.10639420672555;103.542163507272;.312443751;.425283522348232;.1797;.6698;.1505;144.04;104.6531;.0258;.0169;.0089;2.44;.2985;.1101;.7052;.0712;.6549;.3402;.7136;39.833552942;.4906;.0456;.1079;.8265;.1598;.0969;.3191;.2505;12007
63079;VERVIERS;255;35.5671929755483;15.2403265020176;81.7115019976606;.308066604;2.94622425629291;.1926;.6462;.1611;1703.01;106.2658;.1171;.0465;.0706;2.16;.4348;.1414;.5893;.2;.4714;.2311;.505;39.050817682;.449;.0255;.1136;.8743;.1157;.1497;.2164;.1838;56325
63080;WAIMES;467;10.6709265175719;3.66398799480267;88.1454856289052;.304598114;.548523206751055;.1805;.653;.1666;72.77;98.7042;.0363;.0265;.0098;2.47;.2889;.0973;.7034;.0599;.6613;.2292;.7789;40.076962366;.5312;.0421;.1444;.7836;.1954;.0826;.3358;.2598;7054
63084;WELKENRAEDT;121;12.603305785124;6.06805715837997;96.551885352589;.285201483;.649283726682469;.178;.6602;.1618;394.63;104.2522;.076;.0583;.0176;2.38;.3037;.1053;.6939;.0825;.6366;.2498;.6432;40.059951233;.5094;.0364;.1196;.86;.1298;.1181;.3118;.2598;9655
63086;TROIS-PONTS;64;14.2736128759;7.98894232629572;92.2508081979535;.303958924;.4720692368214;.1752;.6567;.1681;36.45;102.6634;.0422;.0335;.0088;2.31;.3385;.1012;.6968;.0931;.6319;.2475;.6828;40.696587936;.4873;.036;.2224;.7861;.192;.1063;.2852;.2521;2511
63087;BURG-REULAND;534;26.6135458167331;3.38866214585278;84.1504955987163;.293493674;.200100050025012;.1675;.6571;.1753;36.48;98.1555;.0881;.0833;.0048;2.52;.2901;.0817;.693;.0326;.6704;.1566;.7948;40.667460724;.5553;.0258;.4624;.7884;.1706;.0689;.3433;.254;3975
63088;PLOMBIERES;399;12.6100466079751;3.6358543607933;89.9336864516928;.323961361;.615726254163723;.165;.6749;.1601;185.99;100.7714;.2257;.2153;.0104;2.41;.2866;.0864;.6731;.0817;.6181;.1975;.7134;40.904942437;.5434;.0364;.257;.8455;.1363;.0997;.3168;.2802;9890
63089;THIMISTER-CLERMONT;430;4.74129451111548;5.01683871116213;100.538792146807;.312764112;.254730713245997;.1973;.6921;.1106;190.3;100.1466;.0249;.0212;.0037;2.71;.2172;.0975;.7142;.06;.6713;.3363;.7832;37.49467286;.5622;.0376;.1067;.8064;.1753;.0881;.4062;.2554;5460
64008;BERLOZ;421;8.03024846957148;5.208948641472;105.267654372494;.291916033;.307797537619699;.1993;.6681;.1325;203.6;104.4352;.0281;.0156;.0125;2.47;.246;.1063;.7169;.0559;.6768;.275;.8491;38.466434611;.5121;.0644;.3216;.8963;.097;.0993;.3397;.2887;2950
64015;BRAIVES;225;11.4575779550399;7.78628196987922;105.083290729315;.292352779;.201748486886348;.189;.675;.136;133.03;102.1064;.0215;.019;.0026;2.52;.2551;.1106;.7067;.0766;.6525;.3199;.8597;39.301145398;.4979;.058;.3673;.8625;.1259;.1032;.3549;.2538;5853
64021;CRISNEE;419;7.13775874375446;8.36618712039928;109.164539507546;.294169508;.388726919339164;.1834;.6711;.1455;180.44;106.1779;.0317;.0251;.0066;2.46;.2711;.0998;.6874;.07;.6394;.3231;.8336;40.316098133;.528;.0468;.1912;.8428;.1413;.0968;.3425;.2646;3037
64023;DONCEEL;442;4.43808160343593;3.83806930953391;112.240864274354;.295521509;.135043889264011;.1697;.6926;.1377;125.87;96.7807;.031;.0276;.0034;2.55;.2478;.1065;.7072;.0522;.6703;.357;.8873;39.944539673;.5244;.0414;.197;.8182;.1615;.0695;.377;.2461;2934
64025;FEXHE-LE-HAUT-CLOCHER;435;7.35593220338983;5.77830005464314;106.265521005121;.315016203;.341191066997519;.1612;.6905;.1483;165.33;101.201;.0365;.0314;.005;2.48;.2545;.1068;.6884;.0787;.6342;.3038;.8309;40.555364109;.5151;.0432;.1761;.8494;.13;.1059;.3496;.2663;3183
64029;GEER;122;11.9377162629758;4.06037067061716;105.362332037459;.286669571;.375117224132541;.2168;.6653;.1179;135.33;102.4699;.0228;.0163;.0066;2.66;.2433;.087;.7311;.0656;.6831;.3241;.8426;37.442065484;.5325;.0508;.2836;.8493;.137;.1007;.4072;.2299;3197
64034;HANNUT;423;11.929380319336;10.6456661825593;104.075278411027;.300379896;.577552461015209;.1788;.6573;.1639;178.02;106.7929;.0336;.0253;.0084;2.43;.2894;.1142;.6883;.0861;.629;.3029;.7524;40.456911768;.4943;.046;.4617;.8407;.1431;.1156;.3046;.2612;15404
64047;LINCENT;411;7.81841109709962;5.90556922829908;106.360051838292;.283256575;.3125;.1888;.6598;.1514;217.69;105.243;.0384;.0284;.01;2.56;.2502;.1133;.7129;.0576;.6719;.266;.8125;39.82340951;.492;.0487;.6066;.8707;.116;.0988;.3676;.2404;3210
64056;OREYE;409;5.77435593722239;7.63661310297744;105.87974527847;.295458311;.330123796423659;.1812;.6796;.1392;181.81;107.9208;.0305;.023;.0076;2.34;.2997;.1073;.7123;.088;.6496;.2771;.7917;40.094089437;.5032;.0432;.1997;.8562;.1256;.1;.3043;.2677;3570
64063;REMICOURT;431;6.24752082506942;3.38574200284005;107.739386166534;.293312553;.262743037309511;.1872;.6566;.1562;247.23;105.2574;.031;.023;.0081;2.46;.261;.0985;.7179;.0752;.6639;.3073;.8452;40.069674161;.5118;.0576;.2007;.8675;.1178;.1008;.3502;.2668;5583
64065;SAINT-GEORGES-SUR-MEUSE;447;19.3001899936669;8.05020986582652;92.6595866726075;.290514923;.903660591208455;.1669;.6724;.1607;312.02;103.5592;.0546;.0432;.0114;2.34;.3135;.1365;.646;.1144;.5721;.2286;.7249;40.979173249;.4618;.0315;.1492;.8702;.118;.1058;.2849;.2357;6520
