NISCODE;admin;ID;poverty_S;criminality_index;income_index;gini_ineq_coef;minimum_sub_income;pop15;pop1564;pop65;pop_density;ratio_FM;foreigners;euro_foreigners;noneuro_foreigners;average_HHsize;one_person_HH;one_parent_HH;active_pop;unemployed;employment_rate_1564;higher_degree;owner_buildings;average_age_pop;married;reg_partnership;commuters;employees;self_employed;moved_in;couples_with_children;couples_without_children;habitants
64074;WAREMME;420;15.2774786416828;9.54780277742156;105.242057885495;.290065537;.297921321687318;.1559;.6504;.1937;475.27;108.331;.0321;.0191;.013;2.22;.3402;.1229;.6755;.0933;.6124;.2736;.6585;42.676521645;.4603;.0393;.2701;.8924;.0966;.1158;.2425;.2662;14754
64075;WASSEIGES;229;15.5075939248601;7.97353367090901;97.9031723997105;.306957229;.588668138337012;.2145;.6539;.1316;110.97;103.6787;.0265;.0133;.0133;2.59;.2788;.124;.6894;.0769;.6364;.3044;.7903;37.533695793;.4642;.0537;.5652;.8425;.1417;.1216;.3404;.2269;2713
64076;FAIMES;441;6.36672325976231;3.95831019458554;110.374777541604;.286528135;.370664548583532;.1904;.67;.1396;132.59;99.5772;.0302;.0236;.0066;2.56;.2512;.0872;.7123;.0549;.6731;.3497;.8788;39.411726059;.5315;.0379;.2429;.8508;.1324;.093;.3706;.2656;3776
71002;AS;201;9.48753462603878;6.15796438832341;101.03654975112;.274184162;.162418790604698;.167;.6774;.1556;356.48;98.6616;.0638;.0524;.0114;2.5;.2339;.0831;.6847;.0592;.6442;.2601;.7845;40.432614116;.5812;.0295;.1666;.8684;.1212;.0843;.3503;.2998;7867
71004;BERINGEN;166;5.41984732824427;5.08286231216511;93.5127623079923;.264836539;.208423993953414;.1734;.6732;.1534;552.49;99.8706;.0505;.0293;.0211;2.61;.219;.0738;.641;.0602;.6024;.2159;.7921;39.906721896;.6076;.0246;.2523;.8571;.1296;.087;.3747;.3014;43258
71011;DIEPENBEEK;282;2.07735567542752;5.61706420706753;106.577822337857;.268800706;.0870653534309191;.1571;.6836;.1593;443.63;98.6519;.0337;.0198;.014;2.47;.2453;.0772;.6943;.045;.6631;.2848;.7967;41.201426477;.5854;.0288;.1532;.8718;.1169;.083;.3395;.3075;18272
71016;GENK;204;23.3092335624433;8.6182442517932;89.9760077441023;.286127418;.300318705565089;.1705;.666;.1635;740.44;103.1257;.1307;.0932;.0374;2.6;.262;.1021;.6071;.0933;.5504;.2021;.6803;40.294997273;.57;.0165;.1556;.8708;.1187;.0967;.3423;.2497;65051
71017;GINGELOM;401;5.08014477766287;5.67453072339082;101.601427895893;.264346859;.230442692540934;.1722;.6436;.1842;145.52;100.757;.0266;.0152;.0114;2.49;.2288;.0726;.7233;.0413;.6934;.2223;.8816;41.853724548;.5791;.0342;.433;.8539;.127;.0777;.3371;.3255;8221
71020;HALEN;245;3.81972749505066;4.36349911208946;101.400968452171;.259772289;.0855431993156544;.1602;.6468;.193;255.05;100.8026;.0303;.0212;.0091;2.45;.252;.0717;.7114;.0491;.6765;.2573;.8208;42.324685941;.5827;.0286;.4548;.8396;.1418;.0835;.3356;.3125;9257
71022;HASSELT;258;9.75821882066446;9.90052889340516;112.362486248735;.295688331;.410253660106183;.1365;.6732;.1903;723.11;104.1307;.0544;.0266;.0279;2.2;.3499;.0854;.6913;.0568;.652;.3433;.6766;43.107036578;.5107;.0282;.2168;.8406;.1481;.1087;.2512;.2866;73930
71024;HERK-DE-STAD;266;2.61986301369863;4.84483515230818;104.441070245712;.273299408;.138031828515752;.1567;.6724;.171;286.75;101.9734;.025;.015;.01;2.48;.2376;.0738;.7059;.0376;.6793;.2978;.827;41.619774039;.5715;.0337;.2826;.8438;.1384;.0745;.3481;.3149;12282
71034;LEOPOLDSBURG;111;4.46326879271071;7.8606737194539;96.1555032721466;.257113051;.355918797785394;.1575;.6666;.1759;672.01;100.1324;.0606;.0351;.0255;2.39;.2837;.0876;.6528;.069;.6077;.1892;.6683;41.302538738;.5502;.0298;.2818;.8736;.1129;.1104;.2998;.3016;15114
71037;LUMMEN;54;3.48255043439847;4.77658176945834;105.510872255365;.271490346;.153224683103496;.1496;.677;.1734;268.69;98.4505;.0277;.0206;.007;2.49;.223;.066;.7104;.0428;.6801;.2709;.8249;42.248189396;.5955;.028;.2796;.8467;.1401;.0707;.3479;.3366;14344
71045;NIEUWERKERKEN;305;3.48730498623432;3.98647637156328;99.2315369239332;.261886719;.134509041996712;.1485;.6759;.1757;298.07;99.9701;.0211;.0118;.0093;2.44;.2485;.0792;.7076;.0406;.6789;.2392;.8646;42.6917497;.5856;.0289;.2434;.8345;.141;.0606;.3409;.3057;6695
71047;OPGLABBEEK;191;1.99173641275559;5.30881482932635;95.6939896668135;.249897794;.137768155874828;.1774;.6875;.1351;405.42;98.4908;.0542;.0492;.005;2.65;.1933;.0743;.6876;.0487;.6541;.2475;.8449;39.207859536;.614;.0242;.1286;.8568;.1288;.0715;.4092;.2955;10127
71053;SINT-TRUIDEN;331;9.58327785913993;10.3332005468677;102.369742327602;.284537886;.296877751780009;.1385;.6744;.1871;375.41;101.5975;.0533;.0186;.0346;2.3;.3091;.088;.6702;.0538;.6341;.2347;.7083;43.067511;.5223;.028;.2877;.843;.1368;.1109;.2802;.291;40130
71057;TESSENDERLO;180;1.79070735915283;5.1548249143506;108.119355108117;.269264762;.209863588667366;.1603;.6734;.1663;349.84;101.7859;.0245;.0151;.0094;2.43;.2433;.0786;.694;.0445;.6631;.2521;.7879;41.248766329;.5767;.0295;.4609;.87;.1179;.0867;.3293;.3209;17965
71066;ZONHOVEN;215;2.94415729198338;5.26345606809966;102.087625290535;.272578993;.153205343036338;.1575;.6851;.1574;530.21;101.0991;.0398;.0265;.0133;2.53;.223;.0867;.6803;.05;.6463;.2785;.7847;40.917740519;.5756;.0299;.1728;.8407;.1469;.0886;.3583;.3032;20858
71067;ZUTENDAAL;265;2.91369754552652;5.16987912431789;101.599490371129;.281779103;.127226463104326;.147;.6989;.1541;220.6;98.9314;.1082;.0936;.0146;2.49;.2317;.0753;.6707;.0525;.6355;.2754;.7627;41.66673508;.5852;.0247;.1821;.8441;.1398;.0896;.3424;.3127;7074
71069;HAM;161;3.82745422571635;4.63976498257923;101.51242749114;.262103498;.15394977388627;.1655;.6689;.1655;318.05;100.3662;.0406;.0275;.0131;2.48;.2198;.0731;.6805;.0488;.6473;.2218;.8079;40.879057272;.5928;.0368;.4115;.8762;.1112;.0927;.3426;.3397;10397
71070;HEUSDEN-ZOLDER;192;3.71523178807947;4.71437827015885;93.470599792861;.275092587;.174983595287942;.1702;.6796;.1502;602.42;100.3812;.0698;.0393;.0305;2.66;.2162;.0784;.6182;.0601;.581;.2393;.79;39.911220825;.6075;.0201;.1995;.8462;.1418;.0912;.3774;.2874;32065
72003;BOCHOLT;52;4.72704266088214;4.67688556822043;88.7779324051747;.264945266;.14140938015555;.1525;.6832;.1643;214.53;100.4251;.124;.1119;.0122;2.54;.2101;.0782;.679;.0445;.6488;.2051;.8365;41.378680334;.5989;.0324;.192;.8408;.1365;.0774;.355;.3251;12731
72004;BREE;90;2.92689994928639;5.36223412339026;97.1578275999955;.272699436;.136549840691853;.15;.671;.179;234.96;100.407;.0631;.0531;.01;2.45;.2555;.0782;.6943;.0477;.6612;.2667;.7643;41.848588436;.567;.0275;.1487;.8288;.1466;.0841;.3349;.3051;15263
72018;KINROOI;125;6.77582123365256;4.13781371208242;89.0598935745519;.282615245;.310153444335619;.1569;.6973;.1458;224.43;95.1882;.1753;.1678;.0075;2.63;.1936;.0812;.667;.05;.6336;.1988;.8234;41.073258589;.6128;.024;.2924;.8363;.1353;.0666;.3876;.2961;12291
72020;LOMMEL;38;3.30352974972171;6.02329871350362;95.8647013680894;.272697923;.158639887455476;.1575;.6749;.1676;324.56;99.8376;.1555;.1437;.0117;2.48;.2322;.0778;.6672;.0485;.6349;.234;.7699;41.414214057;.5941;.0251;.3293;.8614;.1256;.0862;.334;.3268;33227
72021;MAASEIK;156;2.99634360605917;5.50254877816298;96.7656365142284;.289946636;.112775898179475;.1545;.6762;.1692;321.75;99.637;.1419;.1273;.0147;2.43;.261;.0854;.6713;.0531;.6356;.2376;.7378;41.496091689;.5751;.0208;.2043;.8362;.1441;.0857;.3314;.2931;24747
72025;NEERPELT;35;3.3902028263894;5.02056843502433;97.1919914649066;.287849539;.18578448999161;.1488;.6839;.1673;387.77;99.399;.179;.1688;.0102;2.48;.238;.0734;.6752;.0523;.6399;.2458;.7798;41.791839049;.5933;.0286;.2892;.8421;.1415;.0801;.3346;.3258;16588
72029;OVERPELT;43;2.06287647495668;4.16825527105735;96.4348151550021;.252776524;.159722222222222;.1555;.6749;.1695;350.06;97.3092;.1216;.1048;.0169;2.47;.2488;.0706;.6846;.045;.6538;.2627;.7991;41.183726525;.5863;.0315;.2562;.872;.1151;.0977;.3305;.321;14299
72030;PEER;124;2.7162447257384;3.49805586892817;96.2654631520822;.257176666;.234654810423614;.1576;.6912;.1513;186.14;97.378;.048;.0385;.0095;2.54;.2377;.0722;.7046;.0388;.6772;.2484;.7867;40.501575989;.5768;.0302;.1504;.8543;.1274;.0709;.3671;.2941;16185
72037;HAMONT-ACHEL;28;7.28911531302048;4.5717828603167;89.3901064880196;.283634339;.126537785588752;.1549;.6516;.1935;325.22;97.7026;.3116;.2983;.0133;2.47;.2479;.0683;.6606;.0494;.628;.2043;.7828;42.633022446;.5961;.0298;.3626;.8263;.1533;.0794;.3223;.3284;14199
72038;HECHTEL-EKSEL;129;3.96180030257186;5.02483967684606;95.2045542812885;.271621233;.234505862646566;.1576;.6856;.1568;154.97;97.0817;.102;.0891;.0129;2.52;.2274;.0789;.6765;.0439;.6468;.2463;.8282;40.693291181;.5876;.0352;.2223;.8474;.14;.0804;.3453;.3219;11886
72039;HOUTHALEN-HELCHTEREN;169;15.6973324568384;5.47346067607041;90.3046440289272;.26732522;.240479641586507;.1659;.6936;.1405;387.84;99.4743;.0949;.0707;.0241;2.69;.2126;.0893;.6328;.0732;.5865;.1947;.7751;39.548826961;.5869;.0199;.1724;.8725;.1162;.0823;.3816;.2774;30356
72040;MEEUWEN-GRUITRODE;106;3.4950486810352;2.57975055561539;94.5933370634403;.25645434;.146604938271605;.1607;.6874;.1519;141.65;95.6561;.0559;.0443;.0116;2.61;.2013;.0715;.6886;.0404;.6608;.2606;.8517;40.540676701;.6044;.0216;.1367;.8388;.1398;.0703;.3919;.309;12927
72041;DILSEN-STOKKEM;181;4.79949659630456;4.48621928753837;91.7988597145878;.262165947;.20554469343761;.1657;.6849;.1494;302.84;99.2179;.1154;.1015;.0139;2.54;.2232;.0939;.6618;.0624;.6205;.2096;.7659;40.598522642;.5746;.0294;.1931;.8553;.1281;.0896;.3494;.2951;19868
73001;ALKEN;310;2.60973810402066;4.40366145900077;106.200042467881;.282420494;.106053910737958;.1564;.6699;.1737;401.61;98.4372;.0256;.0112;.0143;2.53;.2243;.0806;.7068;.0368;.6808;.2954;.8277;41.870259988;.5923;.0267;.1858;.834;.1478;.0743;.3601;.3068;11301
73006;BILZEN;297;6.30526720492118;5.58263361292317;97.6023079462115;.267065793;.325275846673895;.1562;.6768;.1669;411.98;101.5146;.0636;.0461;.0175;2.48;.2556;.0878;.6832;.0548;.6458;.2592;.7398;41.260061084;.5591;.0274;.1799;.8454;.1341;.0973;.3412;.2836;31267
73009;BORGLOON;355;5.44101377853767;5.22032011271151;100.850688204386;.269699599;.14292520247737;.1417;.6695;.1888;204.88;101.1523;.0381;.0225;.0157;2.43;.2456;.0797;.6957;.0426;.666;.2364;.8225;43.510802285;.5714;.0256;.1686;.8149;.158;.085;.3211;.3143;10474
73022;HEERS;392;6.8609865470852;5.62103440978642;96.4959309576792;.259462874;.112628466844995;.1517;.6693;.179;133.91;101.8177;.034;.0186;.0154;2.47;.2368;.0832;.6985;.053;.6615;.2018;.8505;42.650013481;.582;.0244;.2582;.8253;.1434;.0968;.327;.3075;7106
73028;HERSTAPPE;413;8.53658536585366;1.49933446662379;114.246458284891;.298460477;0;.0824;.7412;.1765;62.75;80.8511;.0353;.0353; ;2.49;.3429;.0286;.6825;.0465;.6508;.2836;.8214;46.056159408;.5; ;.3023;.7442;.2326;.1059;.3714;.2;85
73032;HOESELT;326;2.59854657564413;4.39822476689335;100.483890420228;.268203012;.187734668335419;.1552;.6767;.1681;320.04;100.9621;.0291;.021;.0081;2.5;.2353;.0895;.7096;.0462;.6769;.2526;.8019;41.532580016;.5676;.0217;.1727;.8415;.1423;.0789;.3474;.2901;9608
73040;KORTESSEM;328;6.59062103929024;4.30296489832262;104.153872544281;.276015061;.0952380952380952;.1502;.7027;.1471;245.9;99.4258;.0248;.0181;.0067;2.52;.2167;.0813;.704;.0572;.6637;.2791;.7895;41.304443434;.569;.0293;.1757;.8495;.1339;.0745;.3554;.3214;8336
73042;LANAKEN;281;10.2227050516024;8.41103561889628;99.9506644257382;.318453221;.230477753037228;.1424;.6828;.1748;436.93;96.741;.301;.2754;.0256;2.37;.2733;.0896;.6419;.0607;.603;.2176;.7417;42.435798193;.5651;.0239;.3435;.8331;.1515;.1078;.2971;.3012;25777
73066;RIEMST;361;3.95052473763118;5.59498072565176;96.4544011431682;.276022593;.0614817091915155;.1495;.6675;.183;280.46;99.8769;.1883;.1791;.0092;2.47;.2405;.0795;.6964;.0436;.666;.2482;.8281;42.569025332;.5838;.0268;.3198;.822;.1557;.0779;.3431;.2954;16232
73083;TONGEREN;371;5.3669260564609;7.48681730785505;102.513440085167;.282822787;.304349248944595;.1436;.661;.1954;346.89;103.784;.0491;.0332;.0159;2.33;.296;.0987;.6807;.0595;.6403;.2417;.7411;43.397754942;.5413;.0262;.2226;.8492;.1332;.0976;.2844;.289;30374
73098;WELLEN;336;3.77848283818864;4.4822617637852;101.285047749997;.255252408;.0945307224848076;.16;.6778;.1622;276.6;99.4603;.0206;.0126;.008;2.48;.2206;.0808;.7154;.0511;.6788;.2322;.8442;41.571790823;.5819;.0313;.1628;.8468;.1366;.0752;.3478;.3213;7392
73107;MAASMECHELEN;219;8.89037636535126;7.3368939949501;85.7243662699315;.267957462;.361262008616768;.1617;.6838;.1545;488.01;101.3795;.1903;.1621;.0283;2.54;.2528;.1009;.6141;.0968;.5546;.166;.7077;40.462201088;.5783;.0209;.2143;.8613;.1238;.0965;.3375;.2629;37225
73109;VOEREN;395;7.37370567932225;10.4159843176327;93.0852887655054;.308359089;.0721674284339668;.1498;.6683;.1819;82.96;97.3684;.276;.2608;.0152;2.52;.244;.0837;.679;.043;.6498;.2315;.7419;42.497195132;.5806;.0227;.6049;.7908;.1707;.0933;.344;.2964;4200
81001;ARLON;565;15.7423753576429;11.5493949733025;119.540935882333;.396708378;.90494538513203;.1801;.676;.1439;236.21;100.8529;.1157;.0898;.0259;2.26;.373;.0998;.6426;.0826;.5895;.3785;.6396;38.84849987;.5072;.0296;.5576;.8938;.0959;.1459;.2781;.2291;28023
81003;ATTERT;560;7.31017770597738;2.71450083315831;124.130974175855;.400956118;.174216027874564;.2325;.6607;.1068;72.21;101.1783;.0668;.0636;.0031;2.8;.2161;.0851;.6661;.0404;.6392;.4378;.8451;36.004378706;.5909;.0385;.6104;.8747;.1106;.0947;.4527;.2305;5122
81004;AUBANGE;568;31.0361923648984;10.5694153732174;96.8981145107887;.340229637;.717360114777618;.1862;.6542;.1597;347.78;103.2295;.2171;.1997;.0174;2.34;.328;.1059;.621;.1124;.5512;.209;.6932;39.495207994;.5312;.0288;.6163;.9135;.0758;.1297;.2946;.2421;15858
81013;MARTELANGE;558;37.3165618448637;7.86484242854416;97.6269946838898;.38089583;1.04712041884817;.2057;.6395;.1548;58.34;98.2818;.1392;.0965;.0427;2.29;.3676;.0959;.6369;.1007;.5727;.2507;.6996;37.902945537;.5;.0492;.5692;.8896;.1026;.1831;.2919;.2176;1731
81015;MESSANCY;567;13.5499862296888;7.8886786775016;122.024174927621;.37375365;.32504063007876;.191;.6669;.1421;149.96;100.2292;.1261;.114;.0121;2.48;.2734;.0853;.6703;.0646;.627;.3103;.7906;38.702364051;.5741;.035;.6366;.9126;.0795;.103;.3609;.2616;7863
82003;BASTOGNE;550;20.1575235827457;9.93661551161005;88.2181174816173;.340173553;.682209564180686;.1979;.6752;.1269;87.54;102.1885;.0508;.0329;.0179;2.51;.3047;.1025;.6739;.0911;.6125;.2567;.6394;37.345952892;.5072;.0382;.3536;.8322;.1447;.1342;.3392;.2288;15059
82005;BERTOGNE;552;22.2986645082962;7.35226523350575;85.219988896602;.321345668;.24906600249066;.2122;.6574;.1304;34.65;98.5;.0167;.0116;.005;2.66;.2479;.0868;.7232;.0589;.6806;.2547;.784;37.084633308;.5368;.0533;.3123;.8082;.1655;.0957;.4098;.2254;3176
82009;FAUVILLERS;75;21.615875265769;4.55401633592046;95.2043918371605;.357835891;.541516245487365;.2174;.657;.1257;30.17;103.643;.0532;.0443;.0089;2.7;.2425;.0789;.6678;.0561;.6304;.3;.6899;36.80044371;.57;.0481;.4345;.8275;.1491;.0979;.4217;.2401;2236
82014;HOUFFALIZE;537;19.8048780487805;7.04380368139603;87.4808093524254;.314435527;.376685170499603;.1742;.6653;.1605;30.19;97.3705;.0521;.0408;.0113;2.38;.3243;.0938;.6748;.0757;.6237;.2412;.7309;40.167323068;.5088;.0417;.3145;.785;.1815;.1173;.3171;.2465;5029
82032;VIELSALM;527;15.6018728288778;7.48111438436797;89.6599510570003;.30206633;.321371183717193;.1791;.655;.1659;53.92;99.682;.0437;.0317;.0119;2.35;.3371;.1045;.6765;.0922;.6141;.2471;.7044;40.509347905;.4853;.0485;.4148;.8472;.1352;.1145;.3027;.2345;7536
82036;VAUX-SUR-SURE;72;10.9784583441474;4.59990016559459;87.3727308592799;.333692161;.324737344794651;.2329;.643;.1241;37.76;99.2621;.0242;.0197;.0045;2.73;.2398;.0806;.7254;.0468;.6914;.2744;.7956;35.795281179;.5481;.0591;.3057;.8003;.1677;.0982;.4177;.2344;5131
82037;GOUVY;532;20.7775489186406;8.03549554549626;80.9282710121419;.319958995;.298983456248754;.1939;.6613;.1448;32.67;97.1491;.1156;.0278;.0878;2.27;.4127;.0779;.5899;.0746;.5458;.2377;.7784;37.831175831;.5204;.0512;.4108;.8055;.1687;.1522;.2875;.2078;5394
82038;SAINTE-ODE;99;20.6981317600787;6.039835576196;88.4679932785804;.321404064;.579710144927536;.2064;.6294;.1642;24.95;98.6981;.0332;.0217;.0115;2.49;.2957;.1003;.6818;.0849;.6239;.2408;.7066;39.551447504;.5116;.0518;.2497;.7727;.2018;.1147;.3427;.2372;2442
83012;DURBUY;504;25.0985415845487;8.14480573560751;87.1984923779434;.292856469;1.02614437405193;.1709;.6541;.175;71.43;103.3448;.0562;.035;.0213;2.27;.352;.1041;.6542;.1059;.5849;.2451;.6984;41.630466071;.4866;.0501;.3648;.8007;.1743;.1263;.2639;.2596;11186
83013;EREZEE;528;32.1953010279002;6.88581832904027;88.3096293263069;.293310654;.582712852055681;.1678;.6619;.1704;39.74;97.0291;.0463;.0254;.0209;2.3;.3373;.1119;.6539;.1008;.588;.2458;.7663;41.424996309;.5074;.0511;.2859;.801;.1747;.1235;.2698;.2602;3117
83028;HOTTON;236;18.4408711581518;8.20191995837872;85.4230964871424;.299380088;.605726872246696;.2089;.6648;.1263;97.7;100.5013;.0888;.0214;.0674;2.45;.3284;.1241;.632;.0965;.571;.204;.5596;37.266877589;.4755;.0473;.2576;.8303;.1478;.168;.3073;.2196;5600
83031;LA ROCHE-EN-ARDENNE;541;25.7012888551933;10.4466454081853;84.8701006042469;.31821484;1.05957146220862;.1698;.6375;.1928;29.19;99.2596;.0504;.0409;.0095;2.18;.4035;.0939;.6659;.1127;.5909;.2167;.6589;42.112916688;.4863;.0425;.2195;.7432;.2147;.1159;.2571;.2237;4306
83034;MARCHE-EN-FAMENNE;533;12.9762562120375;10.398789645449;88.6161461453442;.29356903;.843906079568288;.1835;.6694;.1471;143.47;102.6527;.0358;.0223;.0135;2.42;.3154;.1163;.6712;.1072;.5993;.2373;.6055;39.105039796;.4782;.0447;.2964;.8625;.1217;.1367;.3031;.2385;17418
83040;NASSOGNE;546;14.3565379053914;7.40335522423897;90.7025794731008;.293205357;.603090840557859;.197;.6548;.1482;46.52;97.4972;.0261;.0198;.0063;2.42;.3299;.0912;.6842;.0823;.6279;.2714;.7573;38.887506668;.488;.0603;.3106;.8447;.141;.1229;.3322;.2289;5208
83044;RENDEUX;535;22.1621621621622;7.8368267641507;84.6461282453365;.310968933;.759392486011191;.2001;.6369;.1629;39.05;100.4474;.1222;.0268;.0954;2.31;.3614;.1196;.6145;.0884;.5602;.2278;.7456;39.298464776;.4931;.0433;.2255;.7633;.2051;.1626;.2633;.2289;2688
83049;TENNEVILLE;548;11.3151152860803;5.75075656625331;91.2272106743362;.304655608;.407860585836114;.1847;.6644;.1509;29.31;101.4222;.0297;.0253;.0045;2.51;.2769;.0775;.6946;.0539;.6572;.266;.7667;39.521786815;.5233;.0552;.2502;.8208;.1488;.097;.3497;.2713;2691
83055;MANHAY;518;18.7876758204956;9.68767568435018;91.366660109832;.319778814;.392393600965892;.179;.6723;.1488;28.73;95.9021;.0773;.0323;.0451;2.36;.3604;.0922;.6672;.0751;.6171;.2642;.7591;39.205140492;.485;.0547;.4499;.8093;.166;.1267;.2964;.2173;3442
84009;BERTRIX;76;15.7270425163268;9.37640066665356;87.7555216291825;.300995007;1.29503178714387;.1869;.6576;.1555;61.16;103.0866;.0318;.0201;.0118;2.36;.3265;.1156;.658;.0864;.6011;.2211;.7112;39.681747575;.4912;.0352;.1805;.8435;.1416;.1086;.2922;.2438;8422
84010;BOUILLON;557;26.415466561452;8.11913761015077;82.3374007893172;.289969017;1.34512622074811;.1527;.6386;.2087;36.67;105.991;.0607;.056;.0048;2.13;.3987;.1074;.6511;.1201;.5729;.1938;.6601;43.900720417;.4721;.0249;.1862;.7567;.2069;.1187;.2308;.2411;5467
84016;DAVERDISSE;103;35.4166666666667;3.61649798578638;89.9993401597888;.312615015;.498220640569395;.1708;.6192;.21;24.91;101.8678;.027;.0235;.0036;2.36;.3104;.0738;.6598;.0679;.6149;.2156;.7574;43.05513958;.5121;.0689;.393;.786;.1827;.111;.2919;.2919;1405
84029;HERBEUMONT;559;27.9516358463727;7.91764654475705;89.734054148705;.296640616;.769724182168056;.1734;.6346;.192;26.48;104.8684;.0257;.0212;.0045;2.29;.365;.095;.6377;.0984;.5749;.2365;.7429;42.149605994;.4735;.0505;.24;.8243;.1565;.1124;.2774;.2344;1557
84033;LEGLISE;104;18.1590482154039;3.58571303141651;92.0923362197352;.346018756;.250208507089241;.2466;.6376;.1158;27.53;97.3466;.0521;.0395;.0126;2.7;.2514;.0747;.7012;.0475;.6679;.3192;.7832;35.254007131;.5636;.0549;.3958;.8219;.1551;.1185;.4293;.2218;4760
84035;LIBIN;102;13.6976903727418;4.95321034035234;93.2154352915935;.327233129;.407497962510187;.1907;.6489;.1604;34.72;102.2093;.0266;.0241;.0025;2.47;.3054;.0783;.6979;.0706;.6487;.2616;.7534;39.457792226;.5039;.0524;.2264;.8197;.1582;.1095;.3548;.2374;4851
84043;NEUFCHATEAU;556;15.9521257591997;7.77816910957388;90.4998880843372;.337702128;.467225505015803;.2089;.6497;.1414;62.33;101.9072;.0389;.0261;.0128;2.5;.2959;.1035;.6832;.0766;.6309;.2871;.7237;37.694570134;.5033;.0578;.299;.8418;.1394;.1156;.3489;.2287;7093
84050;PALISEUL;74;13.9780405405405;5.076569339577;84.9132049012379;.304127258;.478927203065134;.187;.64;.173;46.11;100;.028;.0238;.0042;2.44;.3016;.0943;.6808;.0798;.6265;.2253;.7396;39.947300878;.5074;.0464;.2175;.7985;.1737;.1146;.3219;.2587;5208
84059;SAINT-HUBERT;98;14.7838990910777;10.7888786178393;89.4829145251882;.304088374;.743757747476536;.1657;.6542;.1801;51.36;100.6678;.0228;.014;.0088;2.27;.3567;.0972;.6535;.0901;.5946;.2268;.7472;41.858699792;.492;.046;.1939;.835;.1433;.104;.2826;.2437;5709
84068;TELLIN;554;18.086500655308;5.56284553954908;90.7024916725745;.297750483;.605326876513317;.196;.6292;.1748;44.14;101.9386;.0252;.0176;.0076;2.44;.3026;.1071;.6764;.0968;.6109;.2281;.7439;40.079800531;.4955;.0661;.3402;.8637;.1209;.1044;.3143;.2475;2500
84075;WELLIN;549;18.8468468468468;6.84641001636184;84.4947400428795;.290318959;.666444518493835;.187;.6173;.1957;44.43;106.3274;.0213;.0203;.001;2.45;.2891;.0899;.6604;.0662;.6166;.2577;.7196;41.738880017;.4934;.0599;.3864;.8262;.1523;.0977;.3235;.2681;3000
84077;LIBRAMONT-CHEVIGNY;71;11.3207547169811;9.94461513526401;96.1168633977306;.320985237;.680593628887418;.1947;.6703;.135;58.97;102.9019;.0389;.0264;.0125;2.45;.3112;.105;.7026;.0611;.6596;.2913;.6973;37.924274159;.5112;.059;.2447;.8317;.1523;.1287;.327;.239;10488
85007;CHINY;564;15.5482041587902;5.19331223099982;90.8383292408484;.345866007;.599961292819818;.1857;.6395;.1748;45.33;101.4855;.0357;.0277;.008;2.4;.3273;.0908;.6553;.0898;.5965;.2556;.7869;40.520988141;.5208;.0339;.2714;.8494;.141;.0984;.3147;.2481;5154
85009;ETALLE;566;7.40842743045993;4.81845043447417;110.102463372263;.383429086;.193525686136524;.2206;.6733;.106;71.72;99.5725;.0446;.0382;.0064;2.64;.256;.0999;.6819;.0537;.6453;.3667;.8067;36.150317187;.5619;.0359;.4667;.8843;.1095;.0964;.4023;.2243;5602
85011;FLORENVILLE;563;25.0887821182369;8.19359873425371;87.2977708994796;.318190733;.888969521044993;.1643;.6237;.2119;37.32;104.3608;.0539;.0462;.0077;2.22;.3767;.1066;.6304;.122;.5535;.2369;.7005;43.31568796;.4711;.0347;.2368;.8016;.1772;.1195;.2503;.2449;5483
85024;MEIX-DEVANT-VIRTON;382;18.001800180018;5.57165847525586;90.4496204421547;.299560395;.364697301239971;.1841;.6483;.1676;50.52;101.1756;.0471;.0442;.0029;2.39;.3224;.0893;.6479;.0739;.6;.298;.8237;40.273047647;.5419;.0323;.2888;.8738;.1065;.1034;.3232;.2504;2738
85026;MUSSON;569;18.0662557781202;5.07992871598178;96.1845284552438;.337711608;.789889415481832;.2141;.6474;.1385;126.68;105.5944;.093;.0894;.0036;2.59;.256;.0931;.6448;.0744;.5968;.2707;.8359;38.040412779;.5839;.0279;.5094;.8981;.0943;.0902;.3761;.2501;4410
85034;SAINT-LEGER;380;10.7744107744108;3.41318870635084;109.324420090013;.381657566;.386789645938709;.2052;.669;.1258;92.41;102.3199;.0608;.0447;.016;2.51;.2928;.1087;.6522;.0574;.6148;.3155;.8266;37.988768257;.5528;.0232;.5051;.9082;.086;.092;.3487;.2249;3314
85039;TINTIGNY;562;9.26746166950596;4.18054819166867;90.5681719684616;.312200754;.302343159486017;.2157;.6367;.1476;47.72;101.7054;.0292;.0254;.0038;2.53;.2763;.0995;.6901;.0571;.6507;.273;.8457;37.980874027;.5501;.0345;.3411;.8509;.138;.0933;.3693;.2373;3903
85045;VIRTON;381;22.3337795626952;9.39231695686927;91.9096854974187;.327445263;1.19047619047619;.1859;.6472;.1669;122.62;105.8447;.0793;.0517;.0276;2.32;.3637;.1128;.6109;.1164;.5398;.2803;.6893;39.837756099;.4988;.0232;.3025;.8783;.1097;.1319;.2862;.22;11587
85046;HABAY;561;10.4469060351413;7.14648582823363;107.625672988095;.374094211;.641646489104116;.2224;.6504;.1271;79.3;100.4634;.0491;.0432;.0058;2.59;.272;.0897;.6717;.0599;.6315;.3442;.7951;36.89683214;.5585;.0352;.4805;.8958;.0945;.1101;.3855;.2336;8219
